age	c_charge_degree	race	age_cat	sex	priors_count	decile_score	two_year_recid
31	F	Caucasian	25 - 45	Male	1	7	1
37	F	African-American	25 - 45	Male	8	2	0
51	F	African-American	Greater than 45	Male	0	2	1
28	F	African-American	25 - 45	Male	8	6	0
56	F	Caucasian	Greater than 45	Male	4	1	0
45	F	African-American	Greater than 45	Male	15	9	1
26	F	Caucasian	25 - 45	Male	7	6	1
33	F	Caucasian	25 - 45	Male	7	8	1
23	M	Caucasian	Less than 25	Male	0	4	0
31	M	African-American	25 - 45	Male	0	2	0
31	M	Other	25 - 45	Male	0	3	0
19	F	Hispanic	Less than 25	Male	1	9	0
32	F	Caucasian	25 - 45	Male	0	1	0
30	M	Caucasian	25 - 45	Male	1	3	1
66	F	Caucasian	Greater than 45	Male	1	1	0
40	F	African-American	25 - 45	Female	0	1	0
59	M	African-American	Greater than 45	Male	4	2	0
27	M	African-American	25 - 45	Male	3	7	0
22	F	African-American	Less than 25	Male	0	3	0
58	F	Caucasian	Greater than 45	Male	1	1	0
29	F	Caucasian	25 - 45	Male	2	3	0
27	F	African-American	25 - 45	Male	0	8	1
24	F	Caucasian	Less than 25	Male	0	5	0
35	F	Caucasian	25 - 45	Female	3	4	0
29	F	African-American	25 - 45	Male	7	8	1
30	F	African-American	25 - 45	Male	5	9	1
23	F	African-American	Less than 25	Male	1	2	0
32	F	Caucasian	25 - 45	Male	2	4	1
22	F	Caucasian	Less than 25	Male	2	5	0
21	M	African-American	Less than 25	Male	0	3	0
43	M	Caucasian	25 - 45	Female	0	2	0
29	F	African-American	25 - 45	Male	0	8	0
43	F	African-American	25 - 45	Male	1	3	0
25	F	African-American	25 - 45	Male	1	2	0
47	M	Caucasian	Greater than 45	Male	0	1	0
21	F	African-American	Less than 25	Female	0	5	0
54	M	Caucasian	Greater than 45	Male	0	1	0
34	F	African-American	25 - 45	Male	3	1	1
28	M	African-American	25 - 45	Female	2	2	0
53	F	Caucasian	Greater than 45	Female	4	1	1
54	M	African-American	Greater than 45	Male	0	1	0
37	F	Hispanic	25 - 45	Male	3	1	1
34	F	African-American	25 - 45	Male	2	4	0
60	F	Caucasian	Greater than 45	Female	0	1	1
22	F	African-American	Less than 25	Male	0	4	0
51	F	African-American	Greater than 45	Male	3	7	0
29	F	African-American	25 - 45	Male	0	2	1
28	M	African-American	25 - 45	Male	5	6	0
33	F	Caucasian	25 - 45	Male	0	1	1
43	M	Caucasian	25 - 45	Male	4	2	0
45	M	Hispanic	Greater than 45	Male	1	6	0
32	F	Caucasian	25 - 45	Male	5	5	1
35	F	African-American	25 - 45	Female	0	3	1
23	F	African-American	Less than 25	Male	1	4	1
41	M	Hispanic	25 - 45	Male	1	1	0
25	F	Other	25 - 45	Male	24	10	1
35	F	Hispanic	25 - 45	Male	12	9	0
25	F	African-American	25 - 45	Male	4	6	1
69	F	Caucasian	Greater than 45	Male	6	2	1
24	M	Asian	Less than 25	Male	0	3	0
28	F	Hispanic	25 - 45	Male	0	4	0
47	F	African-American	Greater than 45	Male	23	7	1
29	F	African-American	25 - 45	Male	13	10	1
26	F	African-American	25 - 45	Male	9	8	1
31	M	Other	25 - 45	Male	0	1	0
28	F	Caucasian	25 - 45	Male	0	7	0
48	M	Caucasian	Greater than 45	Male	1	1	1
44	M	Caucasian	25 - 45	Male	0	1	0
42	M	African-American	25 - 45	Male	7	5	0
39	F	African-American	25 - 45	Male	5	7	0
46	F	Hispanic	Greater than 45	Female	2	1	0
55	M	Caucasian	Greater than 45	Male	0	5	0
27	F	African-American	25 - 45	Male	5	9	1
31	M	Caucasian	25 - 45	Female	0	9	0
25	F	African-American	25 - 45	Male	0	2	0
32	M	Caucasian	25 - 45	Male	6	7	0
36	F	African-American	25 - 45	Male	2	5	0
21	F	African-American	Less than 25	Male	3	7	1
39	M	Caucasian	25 - 45	Male	2	4	0
26	M	African-American	25 - 45	Female	0	2	0
28	F	African-American	25 - 45	Male	8	8	1
67	M	Caucasian	Greater than 45	Male	2	1	1
22	F	Other	Less than 25	Female	0	4	0
37	M	Caucasian	25 - 45	Male	3	1	0
23	M	African-American	Less than 25	Male	2	8	1
49	M	African-American	Greater than 45	Female	14	7	1
32	M	Caucasian	25 - 45	Male	9	7	1
41	M	Caucasian	25 - 45	Male	9	6	0
25	M	African-American	25 - 45	Male	1	3	0
58	M	Caucasian	Greater than 45	Male	0	1	0
44	M	African-American	25 - 45	Male	19	9	1
28	F	African-American	25 - 45	Male	1	4	0
39	F	African-American	25 - 45	Female	0	5	1
54	F	Caucasian	Greater than 45	Male	0	1	0
43	M	Caucasian	25 - 45	Male	0	4	0
31	M	African-American	25 - 45	Male	5	10	0
30	F	African-American	25 - 45	Male	11	10	0
27	M	Caucasian	25 - 45	Male	4	4	1
28	M	African-American	25 - 45	Male	0	2	1
24	M	African-American	Less than 25	Male	0	7	0
43	M	Caucasian	25 - 45	Male	0	1	0
44	M	African-American	25 - 45	Male	10	4	1
24	F	Hispanic	Less than 25	Male	11	10	1
23	F	African-American	Less than 25	Male	0	3	0
36	M	Caucasian	25 - 45	Male	5	3	1
27	F	Caucasian	25 - 45	Male	1	9	0
24	F	African-American	Less than 25	Male	0	10	1
66	M	Caucasian	Greater than 45	Male	0	1	0
36	F	Caucasian	25 - 45	Female	3	4	0
53	F	Hispanic	Greater than 45	Male	9	8	1
23	F	Caucasian	Less than 25	Male	1	3	1
22	M	African-American	Less than 25	Female	0	7	1
25	F	Hispanic	25 - 45	Male	1	3	0
56	F	African-American	Greater than 45	Male	4	1	0
51	F	Asian	Greater than 45	Male	1	1	1
58	M	African-American	Greater than 45	Female	3	1	0
24	M	Caucasian	Less than 25	Male	3	5	0
22	F	African-American	Less than 25	Male	0	3	1
39	M	Caucasian	25 - 45	Male	0	1	0
20	F	Hispanic	Less than 25	Male	3	10	1
46	F	Caucasian	Greater than 45	Male	10	7	1
38	F	Caucasian	25 - 45	Male	1	1	1
23	M	Caucasian	Less than 25	Male	0	8	1
39	F	Other	25 - 45	Male	6	5	0
25	F	African-American	25 - 45	Male	0	8	0
31	F	African-American	25 - 45	Male	19	9	1
25	M	African-American	25 - 45	Female	1	3	1
26	F	African-American	25 - 45	Male	6	6	0
25	F	African-American	25 - 45	Male	2	9	0
37	F	Caucasian	25 - 45	Male	11	8	1
36	F	African-American	25 - 45	Male	0	1	0
26	F	African-American	25 - 45	Male	1	6	1
21	F	Other	Less than 25	Male	3	2	1
35	F	African-American	25 - 45	Male	7	4	1
22	F	African-American	Less than 25	Male	2	4	1
25	F	Caucasian	25 - 45	Male	0	2	0
36	M	Hispanic	25 - 45	Male	0	1	0
24	M	African-American	Less than 25	Male	2	7	1
21	F	African-American	Less than 25	Male	0	9	1
32	F	Caucasian	25 - 45	Male	15	9	1
33	M	African-American	25 - 45	Male	2	2	1
33	F	African-American	25 - 45	Male	10	9	1
29	M	Caucasian	25 - 45	Male	0	3	0
50	F	Caucasian	Greater than 45	Male	8	3	0
33	F	African-American	25 - 45	Male	14	8	1
37	F	African-American	25 - 45	Male	13	8	1
27	F	African-American	25 - 45	Male	9	7	1
27	M	African-American	25 - 45	Male	0	1	0
21	M	Hispanic	Less than 25	Male	1	5	1
58	F	African-American	Greater than 45	Male	1	1	0
27	F	African-American	25 - 45	Male	4	8	0
28	F	Caucasian	25 - 45	Male	1	7	1
31	M	Caucasian	25 - 45	Female	0	3	0
24	M	African-American	Less than 25	Male	3	7	0
26	F	African-American	25 - 45	Male	6	9	1
43	M	Caucasian	25 - 45	Male	0	1	0
22	F	African-American	Less than 25	Male	3	6	1
23	F	African-American	Less than 25	Male	0	5	0
42	M	Caucasian	25 - 45	Male	0	4	0
30	M	African-American	25 - 45	Male	18	10	0
29	F	African-American	25 - 45	Male	1	9	0
38	F	Caucasian	25 - 45	Male	2	4	1
26	M	Caucasian	25 - 45	Male	3	4	0
51	M	African-American	Greater than 45	Male	5	7	0
36	M	Other	25 - 45	Male	0	1	0
62	M	Hispanic	Greater than 45	Male	0	1	0
23	F	African-American	Less than 25	Male	0	3	1
34	F	African-American	25 - 45	Male	7	5	1
35	M	African-American	25 - 45	Male	1	2	0
22	F	Caucasian	Less than 25	Male	0	3	0
29	M	African-American	25 - 45	Male	10	10	1
40	F	African-American	25 - 45	Male	0	2	0
36	F	African-American	25 - 45	Male	2	2	0
26	F	African-American	25 - 45	Male	8	8	1
25	F	African-American	25 - 45	Male	1	3	1
69	M	Caucasian	Greater than 45	Male	0	1	0
27	F	African-American	25 - 45	Male	1	4	0
20	F	Caucasian	Less than 25	Male	0	5	1
27	F	African-American	25 - 45	Male	1	1	0
24	M	African-American	Less than 25	Female	6	6	0
42	F	Caucasian	25 - 45	Male	0	1	0
25	F	Caucasian	25 - 45	Male	1	3	0
25	F	African-American	25 - 45	Male	0	4	0
22	F	African-American	Less than 25	Male	0	3	0
21	F	Caucasian	Less than 25	Male	0	4	0
30	M	African-American	25 - 45	Male	1	2	0
46	M	Caucasian	Greater than 45	Male	9	5	0
26	M	African-American	25 - 45	Male	2	7	0
33	F	African-American	25 - 45	Male	0	5	1
40	M	African-American	25 - 45	Male	1	1	0
34	F	Caucasian	25 - 45	Male	0	4	0
22	F	Caucasian	Less than 25	Male	1	2	1
28	M	Hispanic	25 - 45	Male	3	5	0
31	M	African-American	25 - 45	Male	4	3	1
59	M	Caucasian	Greater than 45	Male	3	1	1
37	F	Native American	25 - 45	Male	0	2	0
50	F	African-American	Greater than 45	Male	0	1	0
57	F	African-American	Greater than 45	Male	8	5	1
31	M	African-American	25 - 45	Male	5	5	0
44	F	African-American	25 - 45	Male	9	8	0
48	F	African-American	Greater than 45	Male	5	9	1
25	F	Caucasian	25 - 45	Female	0	4	0
51	M	African-American	Greater than 45	Male	5	3	0
50	F	Caucasian	Greater than 45	Male	0	1	1
57	F	Caucasian	Greater than 45	Male	2	1	0
55	M	Caucasian	Greater than 45	Male	0	1	0
59	F	African-American	Greater than 45	Male	4	3	1
42	F	African-American	25 - 45	Female	0	1	0
20	F	Hispanic	Less than 25	Male	2	8	1
21	F	Other	Less than 25	Male	0	4	0
32	F	African-American	25 - 45	Male	21	9	1
24	M	Hispanic	Less than 25	Female	0	4	0
42	F	African-American	25 - 45	Male	1	4	0
29	F	African-American	25 - 45	Male	8	8	1
21	F	African-American	Less than 25	Male	1	6	0
58	M	Caucasian	Greater than 45	Male	0	1	0
22	F	African-American	Less than 25	Male	1	7	1
46	M	Caucasian	Greater than 45	Male	1	1	1
50	M	Caucasian	Greater than 45	Male	0	2	1
46	F	African-American	Greater than 45	Male	2	9	0
44	F	African-American	25 - 45	Female	11	8	1
35	M	African-American	25 - 45	Male	4	5	0
30	F	African-American	25 - 45	Male	14	9	1
42	F	African-American	25 - 45	Male	2	5	0
46	F	African-American	Greater than 45	Male	5	1	1
42	F	African-American	25 - 45	Male	0	10	1
29	F	Caucasian	25 - 45	Male	7	10	1
32	F	African-American	25 - 45	Male	8	4	0
31	F	Other	25 - 45	Male	5	6	0
33	M	African-American	25 - 45	Female	1	1	0
25	F	Caucasian	25 - 45	Male	4	4	0
33	M	African-American	25 - 45	Female	0	1	0
21	F	Hispanic	Less than 25	Male	1	5	0
35	F	Caucasian	25 - 45	Male	1	1	1
56	F	African-American	Greater than 45	Male	1	1	0
38	M	Caucasian	25 - 45	Male	0	3	1
40	M	African-American	25 - 45	Female	4	1	0
28	F	African-American	25 - 45	Male	4	4	0
51	M	African-American	Greater than 45	Male	0	1	0
35	M	African-American	25 - 45	Male	2	2	0
61	F	African-American	Greater than 45	Male	5	2	0
25	F	African-American	25 - 45	Male	0	3	0
25	F	African-American	25 - 45	Male	4	7	1
26	M	African-American	25 - 45	Male	0	5	0
42	M	Caucasian	25 - 45	Male	1	1	0
25	F	African-American	25 - 45	Female	1	4	0
26	M	African-American	25 - 45	Male	13	10	1
31	F	African-American	25 - 45	Male	9	7	0
35	F	Caucasian	25 - 45	Male	1	2	0
34	F	Caucasian	25 - 45	Male	0	1	0
33	M	Caucasian	25 - 45	Female	1	2	0
30	F	African-American	25 - 45	Male	3	2	0
50	M	African-American	Greater than 45	Female	7	4	0
21	F	African-American	Less than 25	Male	0	5	0
31	F	Hispanic	25 - 45	Male	16	10	1
31	F	African-American	25 - 45	Male	2	7	1
23	M	African-American	Less than 25	Female	0	4	0
25	F	African-American	25 - 45	Male	1	6	0
24	F	Caucasian	Less than 25	Female	1	5	0
31	M	African-American	25 - 45	Male	13	10	1
60	F	African-American	Greater than 45	Male	0	1	0
30	F	African-American	25 - 45	Male	2	2	0
32	M	Other	25 - 45	Female	0	1	0
46	M	Caucasian	Greater than 45	Male	0	1	0
21	M	Caucasian	Less than 25	Male	0	4	1
35	F	African-American	25 - 45	Male	0	8	0
34	F	Hispanic	25 - 45	Male	2	3	1
41	F	Asian	25 - 45	Male	2	8	1
23	F	African-American	Less than 25	Male	1	10	1
23	F	African-American	Less than 25	Male	3	6	1
28	M	African-American	25 - 45	Male	2	4	0
21	F	Hispanic	Less than 25	Male	0	4	1
46	M	Caucasian	Greater than 45	Male	2	4	0
56	F	African-American	Greater than 45	Male	1	2	0
40	F	Hispanic	25 - 45	Male	8	5	1
30	F	Hispanic	25 - 45	Male	5	3	1
24	M	African-American	Less than 25	Male	1	4	1
33	M	Caucasian	25 - 45	Female	0	1	0
48	M	Caucasian	Greater than 45	Male	2	8	0
33	F	African-American	25 - 45	Male	11	6	1
25	F	Hispanic	25 - 45	Male	0	7	0
30	F	African-American	25 - 45	Male	7	5	1
37	F	Hispanic	25 - 45	Male	0	3	1
43	F	Caucasian	25 - 45	Female	7	8	0
32	F	Caucasian	25 - 45	Male	0	3	0
33	F	Other	25 - 45	Male	3	7	0
39	F	Other	25 - 45	Male	4	2	1
49	F	Caucasian	Greater than 45	Male	4	1	0
24	F	Caucasian	Less than 25	Male	0	4	0
26	F	African-American	25 - 45	Male	1	9	0
42	F	Caucasian	25 - 45	Male	0	2	0
22	F	African-American	Less than 25	Male	1	6	1
36	F	Hispanic	25 - 45	Male	0	1	0
29	M	Caucasian	25 - 45	Male	7	7	1
39	M	Caucasian	25 - 45	Male	0	3	0
27	F	African-American	25 - 45	Male	13	6	1
38	F	Caucasian	25 - 45	Male	2	5	1
20	F	Caucasian	Less than 25	Male	0	2	1
25	F	African-American	25 - 45	Male	4	10	1
53	M	Caucasian	Greater than 45	Male	0	1	0
27	M	African-American	25 - 45	Female	0	8	1
21	F	Other	Less than 25	Male	0	5	1
50	M	Caucasian	Greater than 45	Male	1	1	1
41	F	African-American	25 - 45	Male	4	5	0
22	F	Caucasian	Less than 25	Male	5	8	1
22	F	Caucasian	Less than 25	Male	0	7	1
25	F	African-American	25 - 45	Male	2	5	0
42	F	African-American	25 - 45	Male	1	4	1
51	F	Other	Greater than 45	Male	2	1	0
24	F	African-American	Less than 25	Male	0	3	0
37	F	African-American	25 - 45	Male	4	4	0
37	M	Caucasian	25 - 45	Male	0	1	0
27	M	Other	25 - 45	Female	0	2	0
21	F	Other	Less than 25	Male	0	6	0
35	F	African-American	25 - 45	Male	1	1	1
24	F	Caucasian	Less than 25	Female	0	8	0
49	M	Caucasian	Greater than 45	Male	2	1	0
38	F	African-American	25 - 45	Male	9	6	0
61	M	Other	Greater than 45	Male	0	1	0
30	M	African-American	25 - 45	Female	0	2	0
22	F	African-American	Less than 25	Male	3	6	0
25	F	African-American	25 - 45	Male	0	7	1
30	M	Hispanic	25 - 45	Female	3	3	1
52	M	Caucasian	Greater than 45	Male	0	1	0
26	F	Caucasian	25 - 45	Male	0	2	0
26	M	Other	25 - 45	Male	0	4	0
45	F	Caucasian	Greater than 45	Male	9	9	1
20	F	African-American	Less than 25	Male	0	9	1
29	F	African-American	25 - 45	Male	4	8	0
43	F	Caucasian	25 - 45	Male	1	6	1
26	F	Caucasian	25 - 45	Male	2	5	0
46	F	African-American	Greater than 45	Female	4	4	0
46	F	African-American	Greater than 45	Female	0	1	0
29	F	African-American	25 - 45	Male	12	10	1
41	M	Caucasian	25 - 45	Male	0	1	0
25	F	African-American	25 - 45	Female	5	7	0
23	F	African-American	Less than 25	Male	2	7	0
30	M	Caucasian	25 - 45	Male	0	3	0
34	F	Caucasian	25 - 45	Male	1	6	0
70	F	Caucasian	Greater than 45	Male	11	1	1
52	F	Caucasian	Greater than 45	Male	2	1	0
51	M	African-American	Greater than 45	Male	4	2	0
45	F	Native American	Greater than 45	Female	15	10	1
55	F	African-American	Greater than 45	Male	21	6	1
49	F	Caucasian	Greater than 45	Female	1	1	0
47	F	Caucasian	Greater than 45	Female	0	1	0
27	M	African-American	25 - 45	Male	0	2	0
25	M	Caucasian	25 - 45	Male	5	7	1
21	F	African-American	Less than 25	Male	1	10	1
37	F	African-American	25 - 45	Male	26	10	1
21	F	African-American	Less than 25	Male	1	9	1
21	F	African-American	Less than 25	Male	0	6	0
25	F	African-American	25 - 45	Male	4	10	1
27	F	African-American	25 - 45	Female	3	5	1
30	F	Caucasian	25 - 45	Male	3	4	1
70	M	Caucasian	Greater than 45	Male	0	1	0
37	F	Caucasian	25 - 45	Male	11	9	1
46	F	African-American	Greater than 45	Male	5	5	1
40	M	Other	25 - 45	Male	4	1	1
43	F	African-American	25 - 45	Male	18	4	1
38	F	African-American	25 - 45	Male	15	6	0
29	F	African-American	25 - 45	Male	0	4	0
37	M	African-American	25 - 45	Male	8	2	1
38	F	Hispanic	25 - 45	Male	3	4	0
27	F	Caucasian	25 - 45	Female	0	3	0
20	M	Other	Less than 25	Female	0	5	1
44	M	Hispanic	25 - 45	Male	0	1	0
31	M	Caucasian	25 - 45	Male	6	5	0
29	F	African-American	25 - 45	Male	3	2	1
30	M	African-American	25 - 45	Female	0	2	0
25	F	Caucasian	25 - 45	Female	2	5	1
40	F	African-American	25 - 45	Male	3	2	0
33	M	Caucasian	25 - 45	Male	1	3	0
26	F	Caucasian	25 - 45	Male	5	5	1
31	M	Hispanic	25 - 45	Male	1	3	0
61	M	Caucasian	Greater than 45	Male	1	1	0
30	F	Caucasian	25 - 45	Male	2	4	0
62	M	Caucasian	Greater than 45	Male	0	1	0
27	M	Caucasian	25 - 45	Female	4	8	1
48	F	Caucasian	Greater than 45	Male	9	6	0
40	F	Caucasian	25 - 45	Female	0	2	0
24	F	Caucasian	Less than 25	Male	0	4	0
22	F	African-American	Less than 25	Male	0	4	1
30	M	African-American	25 - 45	Male	4	8	1
63	M	Caucasian	Greater than 45	Male	0	1	0
33	F	African-American	25 - 45	Male	4	10	0
43	M	Caucasian	25 - 45	Male	0	4	1
26	F	African-American	25 - 45	Male	3	10	1
51	F	African-American	Greater than 45	Male	1	1	0
39	F	Caucasian	25 - 45	Male	3	1	1
30	M	Hispanic	25 - 45	Female	0	3	1
32	F	African-American	25 - 45	Male	14	8	1
22	M	African-American	Less than 25	Male	0	6	0
59	F	Caucasian	Greater than 45	Male	0	1	0
38	M	African-American	25 - 45	Male	37	7	1
23	F	African-American	Less than 25	Male	2	6	0
42	M	African-American	25 - 45	Male	0	1	1
38	F	African-American	25 - 45	Male	2	7	1
34	F	Caucasian	25 - 45	Female	2	3	0
36	F	African-American	25 - 45	Female	7	3	1
36	M	African-American	25 - 45	Male	0	3	1
31	F	African-American	25 - 45	Male	1	1	0
28	F	African-American	25 - 45	Female	3	4	1
28	F	African-American	25 - 45	Male	1	2	1
43	F	African-American	25 - 45	Male	0	4	0
40	F	African-American	25 - 45	Male	1	1	0
31	F	African-American	25 - 45	Male	15	9	1
54	F	African-American	Greater than 45	Male	6	7	1
24	F	African-American	Less than 25	Male	17	9	1
41	F	Hispanic	25 - 45	Male	0	1	1
21	F	African-American	Less than 25	Male	1	9	1
29	F	Hispanic	25 - 45	Female	1	2	1
22	F	African-American	Less than 25	Male	0	3	0
52	F	Hispanic	Greater than 45	Male	9	7	1
40	F	Other	25 - 45	Female	0	1	0
45	F	African-American	Greater than 45	Female	1	4	0
29	M	African-American	25 - 45	Male	1	2	1
46	F	African-American	Greater than 45	Male	10	5	1
21	F	Caucasian	Less than 25	Male	1	8	0
35	F	Caucasian	25 - 45	Male	6	5	1
52	M	African-American	Greater than 45	Male	1	1	1
48	M	Caucasian	Greater than 45	Male	0	1	0
29	M	African-American	25 - 45	Female	9	8	1
48	M	Caucasian	Greater than 45	Male	0	1	0
31	F	African-American	25 - 45	Male	10	6	1
21	F	Caucasian	Less than 25	Male	3	8	1
32	F	Other	25 - 45	Male	0	1	1
47	M	African-American	Greater than 45	Male	0	5	0
21	F	African-American	Less than 25	Male	3	10	1
35	F	African-American	25 - 45	Male	13	10	0
46	M	African-American	Greater than 45	Male	3	1	1
34	F	African-American	25 - 45	Male	5	4	1
52	F	African-American	Greater than 45	Male	2	1	0
21	M	Caucasian	Less than 25	Male	0	8	1
53	M	Caucasian	Greater than 45	Male	1	1	0
19	F	Caucasian	Less than 25	Female	0	3	1
22	M	African-American	Less than 25	Male	0	6	0
45	F	African-American	Greater than 45	Male	1	3	0
27	F	Caucasian	25 - 45	Female	0	2	0
25	M	Caucasian	25 - 45	Male	0	2	0
30	F	Caucasian	25 - 45	Male	0	4	1
31	F	African-American	25 - 45	Male	2	5	1
28	F	Caucasian	25 - 45	Male	3	3	0
36	M	African-American	25 - 45	Male	3	2	1
27	F	African-American	25 - 45	Male	7	5	1
42	F	African-American	25 - 45	Male	1	2	0
35	F	Caucasian	25 - 45	Male	0	5	1
33	F	Caucasian	25 - 45	Female	2	2	0
24	F	Hispanic	Less than 25	Male	6	10	1
25	F	African-American	25 - 45	Male	21	10	1
42	M	Caucasian	25 - 45	Female	0	1	0
21	F	African-American	Less than 25	Male	0	6	1
28	M	African-American	25 - 45	Female	0	2	0
27	F	African-American	25 - 45	Male	25	10	1
21	F	Caucasian	Less than 25	Female	0	6	0
26	M	Caucasian	25 - 45	Male	0	6	1
36	F	Caucasian	25 - 45	Male	0	1	0
49	F	Caucasian	Greater than 45	Male	0	7	1
44	F	Caucasian	25 - 45	Male	0	2	1
28	M	Caucasian	25 - 45	Male	1	3	0
35	F	African-American	25 - 45	Female	12	7	1
34	F	African-American	25 - 45	Male	3	1	0
45	F	African-American	Greater than 45	Male	15	3	1
28	F	African-American	25 - 45	Male	9	3	1
25	F	African-American	25 - 45	Female	1	3	0
21	M	African-American	Less than 25	Male	1	8	0
48	F	African-American	Greater than 45	Male	1	1	0
37	M	Caucasian	25 - 45	Male	1	2	0
24	F	African-American	Less than 25	Male	3	6	1
37	M	Caucasian	25 - 45	Male	1	1	1
39	F	Caucasian	25 - 45	Male	1	3	0
24	F	Caucasian	Less than 25	Male	1	5	1
49	F	Other	Greater than 45	Male	2	1	0
23	F	African-American	Less than 25	Male	1	2	1
43	F	Caucasian	25 - 45	Male	5	5	0
28	M	African-American	25 - 45	Male	6	8	1
53	M	African-American	Greater than 45	Male	1	2	0
27	M	African-American	25 - 45	Female	2	4	1
39	M	Caucasian	25 - 45	Male	0	1	0
47	F	African-American	Greater than 45	Male	22	7	1
28	F	African-American	25 - 45	Male	4	2	1
36	F	Caucasian	25 - 45	Male	2	1	0
24	F	African-American	Less than 25	Female	1	9	0
35	M	Hispanic	25 - 45	Male	0	2	0
23	F	African-American	Less than 25	Male	3	7	0
26	F	African-American	25 - 45	Male	2	2	0
31	F	African-American	25 - 45	Male	7	4	1
30	F	African-American	25 - 45	Female	14	10	1
25	M	Caucasian	25 - 45	Male	2	6	0
24	F	African-American	Less than 25	Male	6	10	1
34	F	Hispanic	25 - 45	Male	1	1	1
26	M	African-American	25 - 45	Male	2	4	0
60	F	Hispanic	Greater than 45	Male	0	1	0
20	F	African-American	Less than 25	Female	0	5	0
23	F	Caucasian	Less than 25	Male	0	3	0
26	F	African-American	25 - 45	Male	5	7	1
40	M	Caucasian	25 - 45	Male	4	1	0
28	F	Other	25 - 45	Male	1	3	1
49	F	Hispanic	Greater than 45	Male	1	1	1
19	F	African-American	Less than 25	Male	1	10	1
53	F	Caucasian	Greater than 45	Male	1	1	0
24	F	African-American	Less than 25	Female	0	3	0
31	F	Hispanic	25 - 45	Male	0	1	0
33	F	Caucasian	25 - 45	Female	2	3	0
26	F	Caucasian	25 - 45	Male	8	10	1
32	F	Caucasian	25 - 45	Male	2	2	0
25	F	Caucasian	25 - 45	Male	0	2	1
21	F	African-American	Less than 25	Male	1	2	0
38	F	African-American	25 - 45	Male	3	5	0
23	F	Caucasian	Less than 25	Male	0	2	0
20	F	Caucasian	Less than 25	Male	0	6	1
39	F	Caucasian	25 - 45	Female	4	1	1
24	F	African-American	Less than 25	Male	1	2	1
23	F	Hispanic	Less than 25	Male	0	2	0
49	F	African-American	Greater than 45	Male	3	4	0
31	F	African-American	25 - 45	Male	7	7	1
20	F	African-American	Less than 25	Male	1	6	1
28	M	Caucasian	25 - 45	Male	0	3	0
67	F	Caucasian	Greater than 45	Male	3	1	0
33	F	Hispanic	25 - 45	Male	0	1	0
52	F	African-American	Greater than 45	Male	0	1	0
45	F	African-American	Greater than 45	Male	17	7	1
27	F	African-American	25 - 45	Male	8	7	1
22	F	Caucasian	Less than 25	Male	1	9	0
40	M	Caucasian	25 - 45	Male	0	1	1
30	M	Caucasian	25 - 45	Male	1	8	1
42	F	African-American	25 - 45	Male	1	1	0
24	F	African-American	Less than 25	Male	2	3	1
46	F	Caucasian	Greater than 45	Male	4	2	0
38	F	African-American	25 - 45	Male	4	3	0
32	M	Hispanic	25 - 45	Female	0	3	1
26	M	Caucasian	25 - 45	Male	0	5	0
54	M	Caucasian	Greater than 45	Male	1	1	1
27	F	Hispanic	25 - 45	Male	2	3	0
61	F	Caucasian	Greater than 45	Male	1	4	0
51	M	African-American	Greater than 45	Male	1	4	1
57	F	Caucasian	Greater than 45	Male	0	1	0
24	M	Caucasian	Less than 25	Male	3	5	1
34	F	African-American	25 - 45	Male	1	1	0
27	F	Hispanic	25 - 45	Male	1	2	0
28	M	African-American	25 - 45	Female	10	7	1
35	M	African-American	25 - 45	Male	10	8	1
30	F	African-American	25 - 45	Male	6	6	1
44	F	African-American	25 - 45	Male	0	1	0
61	F	Caucasian	Greater than 45	Male	10	6	0
26	F	African-American	25 - 45	Male	1	9	1
48	F	African-American	Greater than 45	Male	10	7	1
42	M	African-American	25 - 45	Male	4	1	0
38	F	Caucasian	25 - 45	Male	10	8	1
53	M	Caucasian	Greater than 45	Female	0	1	0
26	M	African-American	25 - 45	Male	3	10	0
22	F	African-American	Less than 25	Male	1	7	1
50	F	Caucasian	Greater than 45	Male	0	7	0
44	M	Caucasian	25 - 45	Male	16	7	0
24	F	African-American	Less than 25	Male	4	6	1
21	F	African-American	Less than 25	Male	0	7	1
50	F	Caucasian	Greater than 45	Male	0	1	0
36	M	Caucasian	25 - 45	Female	0	1	0
39	F	Caucasian	25 - 45	Male	0	3	0
54	F	African-American	Greater than 45	Female	7	6	0
29	M	African-American	25 - 45	Male	0	2	0
26	M	Caucasian	25 - 45	Male	0	6	0
41	F	African-American	25 - 45	Male	3	4	1
23	F	African-American	Less than 25	Male	1	6	1
34	M	Caucasian	25 - 45	Male	0	1	0
31	F	Caucasian	25 - 45	Male	11	7	1
20	F	African-American	Less than 25	Male	0	3	0
49	F	African-American	Greater than 45	Male	10	6	1
26	F	African-American	25 - 45	Male	4	8	1
28	F	African-American	25 - 45	Male	1	4	1
26	F	African-American	25 - 45	Male	0	2	0
55	F	African-American	Greater than 45	Male	1	4	0
22	M	African-American	Less than 25	Male	0	9	0
26	M	African-American	25 - 45	Female	0	4	0
56	M	Other	Greater than 45	Male	0	1	0
46	F	Other	Greater than 45	Male	2	3	0
58	F	African-American	Greater than 45	Male	16	6	1
28	F	African-American	25 - 45	Male	4	7	0
33	F	African-American	25 - 45	Male	8	6	0
31	M	African-American	25 - 45	Female	0	2	0
26	M	African-American	25 - 45	Male	1	5	0
